Country,Latitude,Longitude,temperature,precipitation,windspeed
Afghanistan,33.94,67.71,0.2396475537517617,0.07163284553190137,3.7745053990187456
Albania,41.15,20.17,15.43392533565048,0.13909853871504413,1.608147802774216
American Samoa,-14.27,-170.13,27.20000847736015,0.30614110565969754,6.121103328423529
Angola,-11.2,17.87,22.197029744937428,0.19218207250262268,1.7434369337388336
Antigua And Barbuda,17.06,-61.8,26.059058589155335,0.10591550191270438,6.0292808019582695
Armenia,40.07,45.04,1.3318367260435102,0.11023005436107196,3.008227278025623
Australia,-25.27,133.78,22.5787684515042,0.021125581493922792,4.138944992529326
Azerbaijan,40.14,47.58,16.776465788553445,0.06781549025633418,2.0558202375780184
Bahrain,25.93,50.64,27.73475929595524,0.016175015100297768,4.630319278576651
Barbados,13.19,-59.54,24.31727368097574,0.15976326971780988,6.710486494505611
Belgium,50.5,4.47,11.095072534412784,0.1085581070054785,4.157362057455308
Benin,9.31,2.32,26.80435418410707,0.20215483898314066,1.8340832264832732
Bhutan,27.51,90.43,10.529956871430237,0.29735326219415276,0.8931142642181225
Bonaire,12.2,-68.26,26.483218005912956,0.07045767148110078,7.796589981879643
Botswana,-22.33,24.68,22.247612033612732,0.07356865072216512,3.283804003433331
Brazil,-14.24,-51.93,26.508055611482586,0.2122645148300819,1.6701872436923142
British Virgin Islands,18.42,-64.64,24.010967584694125,0.13099280484057266,7.680575188886181
Bulgaria,42.73,25.49,9.218911930824742,0.10179847195583296,3.6177939789549534
Burundi,-3.37,29.92,18.73231357755195,0.14817122148163062,1.8990462969831194
Cambodia,12.57,104.99,28.0482202842035,0.22061185346882978,2.1838188388135933
Canada,56.13,-106.35,0.26808379870508325,0.0511220845828609,3.0406945077302927
Cayman Islands,19.51,-80.57,27.357903548834894,0.10135001960389534,6.105078998399898
Chad,15.45,18.73,28.961286015534764,0.03338712924795219,4.930162447413875
China,35.86,104.2,7.72560056798313,0.05942968559590543,2.3406913287202364
Cocos (Keeling) Islands,-12.16,96.87,26.533392321631045,0.19429886933209,7.451773357776388
Comoros,-11.88,43.87,26.613896512625967,0.12822208564253093,4.549771641110958
Costa Rica,9.75,-83.75,18.214164609140713,0.43080058069917027,1.2949157032500078
Cuba,21.52,-77.78,25.79294683635516,0.10629104896735156,3.1127658447159554
Cyprus,35.13,33.43,20.56783265691064,0.03976507115684176,2.3887420657207348
Democratic Republic Of The Congo,-4.04,21.76,25.97176191334019,0.2869989085398807,1.3258125019868814
Djibouti,11.83,42.59,23.209009314499465,0.0463430787652725,3.985662664646229
Dominican Republic,18.74,-70.16,19.881252318028164,0.18925272070277316,5.117295934046138
Ecuador,-1.83,-78.18,18.06053153048141,0.6118816560523054,0.9369771853044963
El Salvador,13.79,-88.9,24.38085812078119,0.15979760302641757,1.8855778910447287
Eritrea,15.18,39.78,30.751316639998304,0.05850597124055569,2.724621432885799
Ethiopia,9.15,40.49,23.552738717163475,0.08783477625067553,2.982130784473715
Falkland Islands,-51.8,-59.52,7.201134906590088,0.05414066059828969,7.62434803802096
Fiji,-16.58,179.41,21.661708823872246,0.28888554504127417,4.398734753997605
France,46.23,2.21,11.706004090326271,0.12583210588222826,3.103494791721858
French Polynesia,-17.68,-149.41,20.961916519195924,0.40718011211308797,3.419107969778211
Gabon,-0.8,11.61,23.545597600907076,0.2832171581769437,1.8217295934046136
Georgia,42.32,43.36,13.014778158081574,0.15435842278714407,2.61005308946794
Ghana,7.95,-1.02,27.688819421632104,0.19664116394154862,1.8498225052718582
Greece,39.07,21.82,12.298888406150326,0.11847990335809429,2.175467579395776
Grenada,12.26,-61.6,27.048987485297076,0.1401417838485096,6.86051245642107
Guam,13.44,144.79,26.687198126503407,0.30784177007279934,4.071003189606756
Guernsey,49.47,-2.59,12.289379987072026,0.11296347317445347,7.689928896141741
Guinea-Bissau,11.8,-15.18,27.283291123144252,0.30988491983596306,2.3797656009918513
Haiti,18.97,-72.29,26.50708813275546,0.0895540908561074,1.1054043170956565
Hong Kong,22.4,114.11,20.832022168296792,0.26043997499178756,4.661634646970933
Iceland,64.96,-19.02,-0.4429388888300183,0.12116881603068805,5.903940912799754
Indonesia,-0.79,113.92,25.72786614248323,0.4516054000784156,1.0711250516589135
Iraq,33.22,43.68,24.6644236984603,0.031960071633693264,3.908216681325435
Isle Of Man,54.24,-4.55,8.559884072099948,0.19524632029585987,6.698577922834829
Italy,41.87,12.57,16.746596869734766,0.10233339338130107,2.42991130561943
Jamaica,18.11,-77.3,24.812239188716635,0.10437961618751922,1.9184499146965637
Jersey,49.21,-2.13,12.343471902849453,0.10055230001377571,6.712083417223877
Kazakhstan,48.02,66.92,6.495599190412105,0.034969958354968265,4.230931767847492
Kiribati,-3.37,-168.73,27.61320454810372,0.09189967044262416,6.014905318483824
Kuwait,29.31,47.48,26.807212114147653,0.03243660524112792,4.718826097553222
Laos,19.86,102.5,21.748434337547287,0.21752757791223815,1.2285273765749345
Lebanon,33.85,35.86,13.945358115482838,0.06534900232067734,1.639324354396041
Liberia,6.43,-9.43,24.789438268923057,0.3218911930824741,1.744392756095752
Liechtenstein,47.17,9.56,2.970981996206381,0.18478398626667658,4.311095804766396
Luxembourg,49.82,6.13,10.25144803908063,0.11236253430681686,3.5391060623721775
Macau,22.2,113.54,23.191748349563948,0.2378962371117634,4.444643897890197
Madagascar,-18.77,46.87,18.03340291833123,0.20296495671247972,3.873643887293497
Malaysia,4.21,101.98,26.19378079665992,0.3234229460945861,1.0738187328465916
Mali,17.57,-4.0,28.588784452521484,0.029590755438756368,4.396277379224109
Marshall Islands,7.13,171.18,27.4386949104049,0.4145124988078712,6.4690820078627524
Mauritania,21.01,-10.94,26.608657504053237,0.011876251735209656,4.7408587565832
Mayotte,-12.83,45.17,25.372266316269112,0.1664582648963113,3.0406065551187362
Micronesia,7.43,150.55,27.636026661297674,0.4181519354872893,5.737020631775265
Monaco,43.75,7.41,14.068907162309657,0.07192817556612871,2.5536150642689868
Montenegro,42.71,19.37,14.413114476152126,0.1753052379489027,1.7503830707117802
Morocco,31.79,-7.09,19.245358115482837,0.051801756932891095,2.026129343322489
Myanmar (Burma),21.91,95.96,27.29444520976168,0.1417417796098295,2.49746103063506
Namibia,-22.96,18.49,21.889774184319005,0.04344286789093876,3.6936483379075757
Nepal,28.39,84.12,14.827742161091036,0.46393953522872977,0.7831025018809143
Netherlands Antilles,12.23,-69.06,26.55716601850184,0.0798748529707849,7.668037173224258
New Zealand,-40.9,174.89,14.251093049624346,0.15440515423497123,6.357959711345887
Niger,17.61,8.08,29.010243830071317,0.039523254458561606,3.7828895082071443
Niue,-19.05,-169.87,24.921285591666752,0.2078783286884464,6.814387139844652
North Korea,40.34,127.51,5.932515974525533,0.14980714005658638,2.0356059723002256
Norway,60.47,8.47,3.066479458296686,0.08306583729826532,2.528569763375685
Oman,21.51,55.92,30.384127202789053,0.008193368585022624,3.836196208500673
Pakistan,30.38,69.35,19.197151606989582,0.08239273490235141,2.804009791350973
Panama,8.54,-80.78,19.874768197183396,0.3312962943339444,4.005572804628639
Paraguay,-23.44,-58.44,24.560253896936494,0.20916063537814322,3.4925399230679566
Philippines,12.88,121.77,27.354416174803166,0.2508200786275154,4.667904714471914
Poland,51.92,19.15,10.352638048511693,0.07218938422575209,3.810094416598671
Puerto Rico,18.22,-66.59,23.358594453687125,0.1637132956797253,2.290442836100838
Qatar,25.35,51.18,27.981458953681823,0.01479935148194852,4.1115440451843295
Republic Of The Congo,-0.23,15.83,25.582942491708085,0.25203149339295744,1.4828555987665442
Romania,45.94,24.97,9.378326569106381,0.08911602327035362,2.5706693935508484
Rwanda,-1.94,29.87,19.641731924678655,0.11723341351503143,1.5567919549852176
Saint Barthelemy,17.9,-62.83,25.769829075225974,0.10334262310716442,7.417440049168689
Saint Kitts And Nevis,17.36,-62.78,22.59948182136083,0.11828492407464315,8.15183269929744
Saint Martin,18.07,-63.05,24.507944346130618,0.1079353389354555,7.661464040097913
Saint Vincent And The Grenadines,12.98,-61.29,26.950988142292488,0.13398298169949877,7.878099799722366
San Marino,43.94,12.46,13.554154436308533,0.12354502008074686,2.6323008615117254
Saudi Arabia,23.89,45.08,26.09979336434634,0.01664773389566489,4.535831682014221
Serbia,44.02,21.01,12.270247644883383,0.10593637741207389,2.8631669298180547
Sierra Leone,8.46,-11.78,25.816735368606217,0.4153509097267111,1.378262988905255
Sint Maarten,18.03,-63.05,26.679076815479657,0.10248587989700007,7.257013426019137
Slovenia,46.15,15.0,11.995384077398297,0.10436001229217222,2.036388008774068
Somalia,5.15,46.2,28.113044537930886,0.04704956076677723,5.127061852938995
South Georgia And The South Sandwich Islands,-54.43,-36.59,-9.955344445739597,0.22860653392533564,16.76863376744482
Spain,40.46,-3.75,15.690779811166802,0.04404115758352849,2.731290995983851
Sudan,12.86,30.22,28.316863588678487,0.08560099185113755,3.357309073954371
Svalbard And Jan Mayen,77.55,23.67,-5.988156068200363,0.06926935752206763,5.892067310239591
Sweden,60.13,18.64,7.397236380591084,0.05440642583899374,3.9359704987866775
Syria,34.8,39.0,20.350693554027277,0.027139208850363996,3.8936652926278756
Taiwan,23.7,120.96,9.464360118259174,0.3998822706609162,4.691299049475993
Tanzania,-6.37,34.89,22.767833716580657,0.10045025379096949,3.095634159522725
The Bahamas,25.03,-77.4,25.60196144920472,0.09964554037872607,5.497358242643241
Togo,8.62,0.82,25.56775530099927,0.24171380432133435,1.7502982971102798
Tonga,-21.18,-175.2,24.35039896576206,0.1960353505918257,6.093982133963483
Tunisia,33.89,9.54,21.563294090220307,0.019615763651199016,4.529176954296433
Turkmenistan,38.97,59.56,18.272306583729826,0.04193156651018873,4.427420021405334
Tuvalu,-7.11,177.65,27.923526793756423,0.30624389365151694,5.062399728724475
US Virgin Islands,18.34,-64.9,25.65950894891331,0.1305306827453931,7.198430628702222
Uganda,1.37,32.29,23.750791043669,0.16272366984920894,1.9645508588625504
United Arab Emirates,23.42,53.85,28.407558626243787,0.010248492619398319,3.9561964204346767
United States Of America,37.09,-95.71,15.528117284277675,0.22286979834479542,3.4063007979315243
Vanuatu,-15.38,166.96,21.656051245642107,0.3333765325477646,2.4290964193750066
Venezuela,6.42,-66.59,25.994968686750948,0.2291957104557641,1.3912439466350177
Wallis And Futuna,-13.77,-177.16,27.295156248344266,0.31151649376384194,6.220376394790661
Yemen,15.55,48.52,25.953274910192967,0.023559537560003816,3.53419661117528
Zambia,-13.13,27.85,21.324461422712968,0.14273447848340026,2.4435948245716284
